timestamp,sensor_id,pressure_psi,temperature_c,status
2026-07-13 00:00:00,PUMP-001,88.4,31.2,OK
2026-07-13 01:00:00,PUMP-001,91.1,31.7,OK
2026-07-13 02:00:00,PUMP-001,93.8,32.0,OK
2026-07-13 03:00:00,PUMP-001,90.0,31.8,OK
2026-07-13 04:00:00,PUMP-001,87.6,31.0,OK
2026-07-13 05:00:00,PUMP-001,89.9,30.9,OK
2026-07-13 06:00:00,PUMP-001,92.4,31.5,OK
2026-07-13 07:00:00,PUMP-001,94.2,32.1,OK
2026-07-13 08:00:00,PUMP-001,95.0,32.4,OK
2026-07-13 09:00:00,PUMP-001,96.3,32.8,OK
2026-07-13 10:00:00,PUMP-001,98.0,33.1,OK
2026-07-13 11:00:00,PUMP-001,97.5,33.0,OK
